id,status,category,content_type,search_intent,main_keyword,expanded_keywords,title,quality_score,duplicate_status,cannibalization_status,max_existing_similarity,nearest_existing_title,decision_reason
"1","pass","야간 약국 판단","blog","체크리스트형","심야 약국","영업시간|위치|전화","심야 약국 전화 전 확인할 영업시간과 위치 기준","99","pass","pass","43","내 주변 약국 찾기 전 확인할 영업시간 기준","출발 전 확인 순서; 밤에 약국을 찾는 사용자 대상"
"2","pass","야간 약국 판단","blog","문제해결형","밤 10시 약국","대체 후보|거리|통화","밤 10시 이후 약국 찾을 때 대체 후보 남기는 법","99","pass","pass","43","약국 길찾기 중 경로가 바뀔 때 대체 후보 찾기","후보 2곳 이상 확보; 늦은 시간 이동 중인 사용자 대상"
"3","pass","야간 약국 판단","blog","체크리스트형","새벽 약국 검색","헛걸음|전화 확인|도착 시간","새벽 약국 검색 결과에서 헛걸음 줄이는 순서","99","pass","pass","43","야간 약국 검색 시 반경을 넓히는 순서","검색 후 행동 기준; 새벽에 급히 검색하는 사용자 대상"
"4","pass","야간 약국 판단","blog","정보형","심야 약국 상담","증상 설명|복용약|상담","심야 약국 도착 전 증상 설명을 짧게 준비하는 법","91","pass","pass","57","약국 방문 전 증상 설명을 짧게 정리하는 법","짧은 설명 문장; 심야 상담을 준비하는 사용자 대상"
"5","pass","야간 약국 판단","blog","비교형","야간 약국","편의점 상비약|거리|증상","야간 약국이 멀 때 편의점 상비약과 구분할 기준","99","pass","pass","17","내 주변 약국 찾기 전 확인할 영업시간 기준","약국 방문 필요성 구분; 이동 여부를 고민하는 사용자 대상"
"6","pass","야간 약국 판단","blog","체크리스트형","아이 열 약국","체온|나이|복용약","아이 열이 날 때 밤 약국 방문 전 확인할 정보","99","pass","pass","33","약국 방문 전 증상 설명을 짧게 정리하는 법","소아 증상 정보 정리; 아이 보호자 대상"
"7","pass","야간 약국 판단","blog","문제해결형","야간 약국 전화","통화 실패|대체 약국|진료","야간 약국 전화가 안 될 때 다음 행동 기준","99","pass","pass","33","내 주변 약국 찾기 전 확인할 영업시간 기준","연결 실패 대안; 전화 연결이 안 되는 사용자 대상"
"8","pass","야간 약국 판단","blog","정보형","심야 약국 길찾기","건물 입구|주소|주차","심야 약국 길찾기 전에 건물 입구 확인하는 법","99","pass","pass","29","심야 약국 찾기 체크리스트: 헛걸음 방지 | 약국오늘","도착 실패 방지; 밤길 이동 사용자 대상"
"9","pass","야간 약국 판단","blog","FAQ형","밤 복용약","복용 누락|다음 복용|상담","늦은 밤 복용약을 잊었을 때 약국 상담 질문","99","pass","pass","50","숙취 약국 상담 전 증상별로 나누는 질문","상담 질문 정리; 복용을 놓친 사용자 대상"
"10","pass","야간 약국 판단","blog","정보형","야간 약국 방문","위험 신호|응급|상담","야간 약국 방문 전 병원 진료가 우선인 신호","99","pass","pass","43","화상 응급약 준비 전 병원 방문 신호 구분","위험 신호 구분; 증상 심각도를 고민하는 사용자 대상"
"11","pass","공휴일 약국 이용","blog","체크리스트형","대체공휴일 약국","운영시간|전화|지역","대체공휴일 약국 찾기 전 운영시간 확인 순서","99","pass","pass","50","약국 영업시간 변동이 생기는 날 확인 순서","공휴일 운영 확인; 연휴 중 약국을 찾는 사용자 대상"
"12","pass","공휴일 약국 이용","blog","문제해결형","명절 연휴 약국","가족 위치|후보|전화","명절 연휴 약국 후보를 가족 위치별로 나누는 법","99","pass","pass","43","명절 약국 이용 시 가족 복용약 정리법","위치별 후보 관리; 가족 이동 중인 사용자 대상"
"13","pass","공휴일 약국 이용","blog","비교형","공휴일 약국 목록","문 연 약국|전화 확인|도착","공휴일 약국 목록에서 실제 문 연 곳 고르는 기준","99","pass","pass","43","공휴일 약국 이용 전 지도와 목록 비교 기준","목록 판별 기준; 검색 결과가 많은 사용자 대상"
"14","pass","공휴일 약국 이용","blog","체크리스트형","연휴 상비약","점검표|부족 품목|약국","연휴 전 상비약 점검표: 부족한 약국 품목 찾기","99","pass","pass","29","심야 약국 찾기 체크리스트: 헛걸음 방지 | 약국오늘","상비약 보충; 연휴 전 준비하는 가정 대상"
"15","pass","공휴일 약국 이용","blog","FAQ형","공휴일 아이 약","보호자|용량|상담","공휴일 아이 약 준비 전 보호자가 물어볼 질문","99","pass","pass","33","병원 닫은 뒤 약국에서 먼저 물어볼 질문","소아 약 상담; 아이 보호자 대상"
"16","pass","공휴일 약국 이용","blog","정보형","명절 약국 검색","저장|전화번호|주소","명절 이동 중 약국 검색 결과 저장하는 방법","99","pass","pass","43","약국 검색 결과 저장해둘 때 필요한 세 가지","검색 결과 저장; 장거리 이동 사용자 대상"
"17","pass","공휴일 약국 이용","blog","문제해결형","공휴일 처방약","처방약|부족|진료","공휴일 처방약이 부족할 때 확인할 선택지","99","pass","pass","20","휴일지킴이약국 검색 후 바로 확인할 항목","대체 행동; 처방약이 부족한 사용자 대상"
"18","pass","공휴일 약국 이용","blog","체크리스트형","연휴 약국 재고","재고 문의|제품명|성분","연휴 약국 방문 전 재고 문의를 짧게 하는 법","99","pass","pass","43","약국 방문 전 증상 설명을 짧게 정리하는 법","통화 스크립트; 재고 확인이 필요한 사용자 대상"
"19","pass","공휴일 약국 이용","blog","비교형","공휴일 문 연 약국","응급실|증상|약국","공휴일 문 연 약국과 응급실을 구분하는 기준","99","pass","pass","29","공휴일 약국 이용 전 지도와 목록 비교 기준","방문처 선택; 방문처를 고민하는 사용자 대상"
"20","pass","공휴일 약국 이용","blog","정보형","연휴 약국 방문","혼잡|방문 시간|전화","연휴 마지막 날 약국 혼잡을 줄이는 방문 시간","99","pass","pass","43","퇴근 후 약국 이용 시 시간 손실 줄이는 순서","시간대 선택; 연휴 마지막 날 방문자 대상"
"21","pass","복약 실수 예방","blog","체크리스트형","약 먹는 시간","기록표|복용 누락|알림","약 먹는 시간을 자주 놓칠 때 기록표 만드는 법","99","pass","pass","17","근처 약국 길찾기 전 도착 시간을 계산하는 법","기록 습관; 복용 시간을 놓치는 사용자 대상"
"22","pass","복약 실수 예방","blog","FAQ형","하루 두 번 약","복용 간격|질문|상담","하루 두 번 약 복용 간격을 확인하는 질문","99","pass","pass","40","초등학생 약 복용 전 보호자가 확인할 질문","간격 확인; 복용 간격이 헷갈리는 사용자 대상"
"23","pass","복약 실수 예방","blog","문제해결형","비슷한 알약","가족|분리|라벨","비슷한 알약을 가족끼리 헷갈리지 않게 나누는 법","99","pass","pass","17","소화제 상비약 고를 때 증상별로 나누는 기준","약 분리; 가족 약을 관리하는 사용자 대상"
"24","pass","복약 실수 예방","blog","정보형","아침 약","공복|식후|설명서","아침 약을 공복에 먹어도 되는지 확인할 기준","99","pass","pass","29","내 주변 약국 찾기 전 확인할 영업시간 기준","복용 시점; 아침 복용자가 많은 사용자 대상"
"25","pass","복약 실수 예방","blog","정보형","약 봉투","식전|식후|복용법","약 봉투에 적힌 식전·식후 문구 읽는 순서","91","pass","pass","57","약 봉투에 적힌 식전·식후·취침 전 의미","봉투 문구 해석; 약 봉투를 확인하는 사용자 대상"
"26","pass","복약 실수 예방","blog","체크리스트형","외출 중 약","복용 누락|외출|다음 복용","외출 중 약을 못 먹었을 때 상담 전에 볼 항목","99","pass","pass","17","휴일지킴이약국 검색 후 바로 확인할 항목","누락 대처; 외출이 잦은 사용자 대상"
"27","pass","복약 실수 예방","blog","정보형","약 나눠 담기","원래 포장|성분|유효기간","약을 나눠 담을 때 원래 포장을 남겨야 하는 이유","99","pass","pass","25","약국 리뷰보다 영업 확인을 먼저 봐야 하는 이유","포장 보존; 휴대용 약통 사용자 대상"
"28","pass","복약 실수 예방","blog","문제해결형","졸림 약","운전|일정|주의","졸림 있는 약 복용 전 운전 일정을 조정하는 법","99","pass","pass","33","장거리 운전 전 약국에서 확인할 졸림 주의","생활 일정 조정; 운전 예정 사용자 대상"
"29","pass","복약 실수 예방","blog","정보형","여러 병원 처방약","중복|약국 상담|목록","여러 병원 처방약을 한 약국에 보여줄 때 장점","99","pass","pass","17","병원 닫은 뒤 약국에서 먼저 물어볼 질문","중복 확인; 처방이 여러 개인 사용자 대상"
"30","pass","복약 실수 예방","blog","체크리스트형","약 이상 증상","시간순|증상|복용량","약 복용 후 이상 증상을 시간순으로 적는 방법","99","pass","pass","17","지사제 복용 전 약국에서 먼저 확인할 증상","증상 기록; 이상 증상을 느낀 사용자 대상"
"31","pass","가정 상비약 정리","blog","체크리스트형","아이 상비약","보관 위치|잠금|안전","아이 있는 집 상비약 상자를 위쪽에 두는 기준","99","pass","pass","43","아이 있는 집 약 보관 위치를 정하는 기준","보관 위치; 아이 있는 가정 대상"
